Time,Strain
1126259462.741211,0.5821985362513286
1126259462.741455,0.472689484598089
1126259462.7416992,0.34636044743852906
1126259462.7419434,0.2538584792114908
1126259462.7421875,0.22124450092239334
1126259462.7424316,0.24228709884709945
1126259462.7426758,0.2835517067311192
1126259462.74292,0.29998013875315277
1126259462.743164,0.25489203788280423
1126259462.7434082,0.13682222262896654
1126259462.7436523,-0.033163451290213974
1126259462.7438965,-0.20653667129159803
1126259462.7441406,-0.32313675964982863
1126259462.7443848,-0.33226440575038696
1126259462.744629,-0.21163370166150172
1126259462.744873,0.022526813170666377
1126259462.7451172,0.3179233426120222
1126259462.7453613,0.6006529996652092
1126259462.7456055,0.7971134040649419
1126259462.7458496,0.85636402505222
1126259462.7460938,0.765811124942571
1126259462.746338,0.5552567077870999
1126259462.746582,0.28805340741530044
1126259462.7468262,0.04212384495085175
1126259462.7470703,-0.1133312402133072
1126259462.7473145,-0.13840868426382444
1126259462.7475586,-0.03428628818329266
1126259462.7478027,0.15713620037443823
1126259462.7480469,0.3654756532602721
1126259462.748291,0.5123130114248846
1126259462.7485352,0.533938316395207
1126259462.7487793,0.39997902723108536
1126259462.7490234,0.12278605859880506
1126259462.7492676,-0.24490334406725217
1126259462.7495117,-0.6232795842421823
1126259462.7497559,-0.9260805466910822
1126259462.75,-1.0829829931584736
1126259462.7502441,-1.0578726853732867
1126259462.7504883,-0.8582800243227365
1126259462.7507324,-0.5336289339574911
1126259462.7509766,-0.16285579740936085
1126259462.7512207,0.1653316200913914
1126259462.7514648,0.3744465766455707
1126259462.751709,0.4188492774630989
1126259462.7519531,0.2943301991651425
1126259462.7521973,0.03811656254116719
1126259462.7524414,-0.28145838689355357
1126259462.7526855,-0.5827179100267343
1126259462.7529297,-0.7910829258113544
1126259462.7531738,-0.8568893808811483
1126259462.753418,-0.7661486608325763
1126259462.753662,-0.5418370223629276
1126259462.7539062,-0.23589266086706792
1126259462.7541504,0.08545631071733956
1126259462.7543945,0.3587783790985182
1126259462.7546387,0.5382908245954093
1126259462.7548828,0.6047362088622059
1126259462.755127,0.5664428017865859
1126259462.755371,0.45303841856075056
1126259462.7556152,0.30432101561383834
1126259462.7558594,0.15796715455890084
1126259462.7561035,0.03977601492193637
1126259462.7563477,-0.040942920277395906
1126259462.7565918,-0.09003693348432516
1126259462.756836,-0.1223602108524599
1126259462.75708,-0.15338231586174852
1126259462.7573242,-0.1916653919803871
1126259462.7575684,-0.23481785951266718
1126259462.7578125,-0.2701953717476625
1126259462.7580566,-0.2799090092884208
1126259462.7583008,-0.24818895494233872
1126259462.758545,-0.16834456186814012
1126259462.758789,-0.04672973732279355
1126259462.7590332,0.09779644264079898
1126259462.7592773,0.23881181763423623
1126259462.7595215,0.3500013438248701
1126259462.7597656,0.41290671823371033
1126259462.7600098,0.42207896839249803
1126259462.760254,0.38588607758953025
1126259462.760498,0.32277618887183007
1126259462.7607422,0.2544023781672093
1126259462.7609863,0.19809521998467192
1126259462.7612305,0.16133957587005138
1126259462.7614746,0.1401261527135568
1126259462.7617188,0.12161070402888355
1126259462.761963,0.08995902846404
1126259462.762207,0.033147962462172456
1126259462.7624512,-0.05178118131781159
1126259462.7626953,-0.1568847301088753
1126259462.7629395,-0.2654744986717685
1126259462.7631836,-0.3573974563071182
1126259462.7634277,-0.41547229927321516
1126259462.7636719,-0.43076927778141283
1126259462.763916,-0.4049141277912691
1126259462.7641602,-0.3487331065440139
1126259462.7644043,-0.2779070196665492
1126259462.7646484,-0.20736719749179416
1126259462.7648926,-0.14655324797369698
1126259462.7651367,-0.09722735789080053
1126259462.7653809,-0.05448324730739304
1126259462.765625,-0.010323061489376256
1126259462.7658691,0.041801365878224084
1126259462.7661133,0.10340271922357724
1126259462.7663574,0.1697946166491247
1126259462.7666016,0.2317834095768453
1126259462.7668457,0.27944499951287366
1126259462.7670898,0.3063218833018454
1126259462.767334,0.31215942553495873
1126259462.7675781,0.30287453823402977
1126259462.7678223,0.28761030392032744
1126259462.7680664,0.2740189308593367
1126259462.7683105,0.26379584769420195
1126259462.7685547,0.2505637944209849
1126259462.7687988,0.22139471695541013
1126259462.769043,0.16183664156827576
1126259462.769287,0.0628204354959806
1126259462.7695312,-0.07314923411212615
1126259462.7697754,-0.22914381230104564
1126259462.7700195,-0.3759367469990633
1126259462.7702637,-0.47903825644433834
1126259462.7705078,-0.5087502650819946
1126259462.770752,-0.45008028610064854
1126259462.770996,-0.30912786174301204
1126259462.7712402,-0.11351591522723085
1126259462.7714844,0.09370607580240448
1126259462.7717285,0.26512804527613004
1126259462.7719727,0.361775171895622
1126259462.7722168,0.36374710658749754
1126259462.772461,0.2754291360529395
1126259462.772705,0.12368149754002628
1126259462.7729492,-0.05040130112708366
1126259462.7731934,-0.20359085422456696
1126259462.7734375,-0.30277505944551836
1126259462.7736816,-0.3336896201185767
1126259462.7739258,-0.3036368279653968
1126259462.77417,-0.23760097931193183
1126259462.774414,-0.16918802610644926
1126259462.7746582,-0.12933068372666862
1126259462.7749023,-0.13627422227288702
1126259462.7751465,-0.1898599494831712
1126259462.7753906,-0.2717425138250014
1126259462.7756348,-0.3513526636315653
1126259462.775879,-0.3956993341557506
1126259462.776123,-0.3799924449556258
1126259462.7763672,-0.29586607019803646
1126259462.7766113,-0.15472365504285937
1126259462.7768555,0.014824453328080078
1126259462.7770996,0.17473389322942
1126259462.7773438,0.2882987344737954
1126259462.777588,0.33083249210610666
1126259462.777832,0.2971606038506581
1126259462.7780762,0.20369707139096527
1126259462.7783203,0.08438629620696268
1126259462.7785645,-0.0184776688305079
1126259462.7788086,-0.06606959220244002
1126259462.7790527,-0.03420415077616461
1126259462.7792969,0.07931965757651747
1126259462.779541,0.25337651228064184
1126259462.7797852,0.4487023291809509
1126259462.7800293,0.6182867242313945
1126259462.7802734,0.7201138363122284
1126259462.7805176,0.7286438024126425
1126259462.7807617,0.641712983245797
1126259462.7810059,0.48081275784354094
1126259462.78125,0.2846392057437124
1126259462.7814941,0.0978273535048534
1126259462.7817383,-0.04172522376901254
1126259462.7819824,-0.11306811910468474
1126259462.7822266,-0.11680551358829801
1126259462.7824707,-0.07273982703393142
1126259462.7827148,-0.01146410330695434
1126259462.782959,0.03714866250948058
1126259462.7832031,0.05452321538483471
1126259462.7834473,0.03927852801885331
1126259462.7836914,0.006324967083237119
1126259462.7839355,-0.020503755300115327
1126259462.7841797,-0.019528176009085123
1126259462.7844238,0.018241991146508804
1126259462.784668,0.08333374687251645
1126259462.784912,0.14938279901166437
1126259462.7851562,0.18193688971084196
1126259462.7854004,0.15157406069592816
1126259462.7856445,0.046570786487767094
1126259462.7858887,-0.11979417514718935
1126259462.7861328,-0.31052145449626073
1126259462.786377,-0.47498645550947793
1126259462.786621,-0.5648356466686353
1126259462.7868652,-0.5503714179907686
1126259462.7871094,-0.4316425223898236
1126259462.7873535,-0.24006036859910354
1126259462.7875977,-0.029531592506833904
1126259462.7878418,0.14025772891242017
1126259462.788086,0.22294350507865474
1126259462.78833,0.2005269722699754
1126259462.7885742,0.08917133079399897
1126259462.7888184,-0.06634582126751559
1126259462.7890625,-0.20775329377920576
1126259462.7893066,-0.28291025414383925
1126259462.7895508,-0.2632911535592275
1126259462.789795,-0.15340239430745167
1126259462.790039,0.011040605120752958
1126259462.7902832,0.17549916037620042
1126259462.7905273,0.285279066529371
1126259462.7907715,0.30408424073162815
1126259462.7910156,0.2261524159094753
1126259462.7912598,0.07791665481122988
1126259462.791504,-0.09125269091024504
1126259462.791748,-0.2259443285997231
1126259462.7919922,-0.2833902602184967
1126259462.7922363,-0.24754452195278376
1126259462.7924805,-0.13381786090787623
1126259462.7927246,0.017000860733260334
1126259462.7929688,0.1533595830457302
1126259462.793213,0.23089393949200732
1126259462.793457,0.2274230831989435
1126259462.7937012,0.14980894163875505
1126259462.7939453,0.030404649497920003
1126259462.7941895,-0.08550536342130204
1126259462.7944336,-0.15671467753321303
1126259462.7946777,-0.16145556560397095
1126259462.7949219,-0.1056145236236661
1126259462.795166,-0.020823808629604645
1126259462.7954102,0.046997057937492634
1126259462.7956543,0.054712927114005605
1126259462.7958984,-0.02130095388366289
1126259462.7961426,-0.17472165754494623
1126259462.7963867,-0.36900649420305504
1126259462.7966309,-0.5477241443873054
1126259462.796875,-0.6522740056211169
1126259462.7971191,-0.6411635710370109
1126259462.7973633,-0.5043519812132301
1126259462.7976074,-0.267711351626682
1126259462.7978516,0.01410019183898964
1126259462.7980957,0.2742043667733995
1126259462.7983398,0.45417823314708616
1126259462.798584,0.522067191578504
1126259462.7988281,0.4817494071835189
1126259462.7990723,0.37044824975935564
1126259462.7993164,0.24508395362469956
1126259462.7995605,0.1619019780314001
1126259462.7998047,0.15617485063178868
1126259462.8000488,0.22892743091506906
1126259462.800293,0.3454612291504327
1126259462.800537,0.446596733800066
1126259462.8007812,0.4692472937024824
1126259462.8010254,0.3696209852177753
1126259462.8012695,0.14118065733427798
1126259462.8015137,-0.17904617659175392
1126259462.8017578,-0.5185309920563652
1126259462.802002,-0.7896774110008739
1126259462.802246,-0.916424135659466
1126259462.8024902,-0.8585848598418577
1126259462.8027344,-0.6260091805152102
1126259462.8029785,-0.2777775919947388
1126259462.8032227,0.09363609078074414
1126259462.8034668,0.38854451723416894
1126259462.803711,0.5286394906559242
1126259462.803955,0.4793755194858895
1126259462.8041992,0.2595416371957108
1126259462.8044434,-0.06457379867767511
1126259462.8046875,-0.3983600105091708
1126259462.8049316,-0.645494566242738
1126259462.8051758,-0.7341788207188624
1126259462.80542,-0.63567573954892
1126259462.805664,-0.37039529404853144
1126259462.8059082,-0.0005226708890230802
1126259462.8061523,0.3880461792717766
1126259462.8063965,0.7089702412027278
1126259462.8066406,0.8974200941528884
1126259462.8068848,0.9250303577144013
1126259462.807129,0.8044166363557939
1126259462.807373,0.5828086366236208
1126259462.8076172,0.32721437586362173
1126259462.8078613,0.10555329162981927
1126259462.8081055,-0.03106197413814249
1126259462.8083496,-0.060343175549285616
1126259462.8085938,0.007658121133837653
1126259462.808838,0.1359651505147053
1126259462.809082,0.27307395720142197
1126259462.8093262,0.3686125994927633
1126259462.8095703,0.3878022445308857
1126259462.8098145,0.3207386368777856
1126259462.8100586,0.18407045015077383
1126259462.8103027,0.01486615306200284
1126259462.8105469,-0.14128122916566618
1126259462.810791,-0.2442100538041174
1126259462.8110352,-0.2709575530874929
1126259462.8112793,-0.22183382499344892
1126259462.8115234,-0.11912652941363752
1126259462.8117676,0.0008873934346246976
1126259462.8120117,0.0998248891704398
1126259462.8122559,0.148985804509706
1126259462.8125,0.13720557900182237
1126259462.8127441,0.0723734338676682
1126259462.8129883,-0.023535000153059496
1126259462.8132324,-0.12379909448871203
1126259462.8134766,-0.20708208056129032
1126259462.8137207,-0.26459671255635075
1126259462.8139648,-0.3017526377148956
1126259462.814209,-0.3338402771593673
1126259462.8144531,-0.3775562272529332
1126259462.8146973,-0.44174728885733583
1126259462.8149414,-0.5210775015320361
1126259462.8151855,-0.5952901831792035
1126259462.8154297,-0.6347170139913162
1126259462.8156738,-0.6103973090945737
1126259462.815918,-0.5054168249996518
1126259462.816162,-0.3234647494583037
1126259462.8164062,-0.09135339251759267
1126259462.8166504,0.1458891758031215
1126259462.8168945,0.3363547815908575
1126259462.8171387,0.4358713820583625
1126259462.8173828,0.42153274304598176
1126259462.817627,0.2998913183195129
1126259462.817871,0.10701560016850381
1126259462.8181152,-0.10001666899086281
1126259462.8183594,-0.25804152901559674
1126259462.8186035,-0.31501116007238084
1126259462.8188477,-0.24456258619813798
1126259462.8190918,-0.053730884568022635
1126259462.819336,0.21845690640872173
1126259462.81958,0.5111361206527595
1126259462.8198242,0.7576172714046324
1126259462.8200684,0.9027162041662863
1126259462.8203125,0.9165585823542585
1126259462.8205566,0.8011332677106231
1126259462.8208008,0.5880483841059784
1126259462.821045,0.32851528341777636
1126259462.821289,0.07877693131410649
1126259462.8215332,-0.11463286085376495
1126259462.8217773,-0.22558609481015035
1126259462.8220215,-0.2522288104970727
1126259462.8222656,-0.21345733411445028
1126259462.8225098,-0.13975180977201457
1126259462.822754,-0.06179400678034344
1126259462.822998,-0.0008072280679900443
1126259462.8232422,0.03625987515971146
1126259462.8234863,0.055444171591317426
1126259462.8237305,0.06936863788334734
1126259462.8239746,0.0885817999111218
1126259462.8242188,0.11427260897132574
1126259462.824463,0.13543246530972777
1126259462.824707,0.1318210551868347
1126259462.8249512,0.0818483559555894
1126259462.8251953,-0.027471968087306675
1126259462.8254395,-0.19229589836113495
1126259462.8256836,-0.38883711767156126
1126259462.8259277,-0.5771062075476598
1126259462.8261719,-0.7109005262072731
1126259462.826416,-0.7512168905606242
1126259462.8266602,-0.6789039072048556
1126259462.8269043,-0.5023642493117687
1126259462.8271484,-0.25749360367304797
1126259462.8273926,0.0006165487429191929
1126259462.8276367,0.21211632525435892
1126259462.8278809,0.3288959158298364
1126259462.828125,0.32830167497105806
1126259462.8283691,0.21993569834326548
1126259462.8286133,0.04338750378316203
1126259462.8288574,-0.14259310125015257
1126259462.8291016,-0.27644512928059684
1126259462.8293457,-0.3110068544763584
1126259462.8295898,-0.22669233527015373
1126259462.829834,-0.0369426590220201
1126259462.8300781,0.2154842055151366
1126259462.8303223,0.47020023020967194
1126259462.8305664,0.665446512103897
1126259462.8308105,0.7543247885726534
1126259462.8310547,0.7165376815571698
1126259462.8312988,0.5625633007210954
1126259462.831543,0.3294022366916733
1126259462.831787,0.06942287758497057
1126259462.8320312,-0.16428397814612067
1126259462.8322754,-0.331767972515343
1126259462.8325195,-0.41540874170675984
1126259462.8327637,-0.42203733491652534
1126259462.8330078,-0.37775864314277496
1126259462.833252,-0.317438482932658
1126259462.833496,-0.2723902793479638
1126259462.8337402,-0.26026319785651647
1126259462.8339844,-0.28033875916110007
1126259462.8342285,-0.31561773730613807
1126259462.8344727,-0.3407912792127126
1126259462.8347168,-0.33318001853233725
1126259462.834961,-0.2826725176274311
1126259462.835205,-0.19698751740468975
1126259462.8354492,-0.10016745658825035
1126259462.8356934,-0.024577000081291253
1126259462.8359375,0.0009725270825533816
1126259462.8361816,-0.03715050825294722
1126259462.8364258,-0.13024841233539408
1126259462.83667,-0.24747953343134005
1126259462.836914,-0.3438313332564073
1126259462.8371582,-0.37368973992078225
1126259462.8374023,-0.30581596211532525
1126259462.8376465,-0.13487110944467304
1126259462.8378906,0.11446029828063567
1126259462.8381348,0.3924603730122288
1126259462.838379,0.637326519934803
1126259462.838623,0.7923458812144201
1126259462.8388672,0.822124778308766
1126259462.8391113,0.7228988752149781
1126259462.8393555,0.5237401903186562
1126259462.8395996,0.2782862905860843
1126259462.8398438,0.04952768839662111
1126259462.840088,-0.10773943485973478
1126259462.840332,-0.16159814250081453
1126259462.8405762,-0.11066321416456003
1126259462.8408203,0.01721673753940048
1126259462.8410645,0.17440809978377703
1126259462.8413086,0.30796634886204427
